url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,search_term,neg,neu,pos,compound,date
https://www.fool.com/investing/2025/10/30/stock-market-7-time-since-1990-big-move-next-year/?source=iedfolrf0000001,,The Stock Market Is Doing Something for the 7th Time Since 1990 -- It Hints at a Very Big Move in the Next Year,20251030T084500Z,https://g.foolcdn.com/editorial/images/840135/market-16.jpeg,fool.com,English,United States,QQQ ETF,0.0,1.0,0.0,0.0,2025-10-30 08:45:00+00:00
https://finance.yahoo.com/news/nasdaq-doing-something-seen-7-074500533.html,,The Nasdaq Is Doing Something Seen 7 Times Since 1990 . History Says the Stock Market Will Make a Big Move in 2026 . ,20251019T104500Z,https://s.yimg.com/ny/api/res/1.2/PoyzMsCZHy8OzxbkWibOxA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzQ-/https://media.zenfs.com/en/motleyfool.com/01249c5debaae006023e428f541d862c,finance.yahoo.com,English,United States,QQQ ETF,0.0,1.0,0.0,0.0,2025-10-19 10:45:00+00:00
https://www.fool.com/investing/2025/09/15/can-the-qqq-etf-protect-your-income-in-a-volatile/?source=iedfolrf0000001,,Can the QQQ ETF Protect Your Income in a Volatile Market ? ,20250915T141500Z,https://g.foolcdn.com/editorial/images/830104/gettyimages-1442732133.jpg,fool.com,English,United States,QQQ ETF,0.0,0.809,0.191,0.3818,2025-09-15 14:15:00+00:00
https://www.fool.com/investing/2025/09/05/if-youd-invested-1000-in-the-invesco-qqq-trust-10/?source=iedfolrf0000001,,"If Youd Invested $1 , 000 in the Invesco QQQ Trust 10 Years Ago , Here How Much Youd Have Today",20250905T140000Z,https://g.foolcdn.com/editorial/images/830891/data-center-servers-2025.jpg,fool.com,English,United States,QQQ ETF,0.0,0.858,0.142,0.5106,2025-09-05 14:00:00+00:00
https://invezz.com/news/2025/09/10/qqq-etf-stock-is-the-nasdaq-100-index-at-risk-of-a-reversal/,,QQQ ETF stock : Is the Nasdaq 100 Index at risk of a reversal ? ,20250910T203000Z,https://invezz.com/wp-content/uploads/2025/06/image-175-1024x640.png,invezz.com,English,United Kingdom,QQQ ETF,0.13,0.87,0.0,-0.2732,2025-09-10 20:30:00+00:00
https://www.fool.com/investing/2025/08/26/the-smartest-growth-etf-to-buy-with-500-right-now/?source=iedfolrf0000001,,The Smartest Growth ETF to Buy With $500 Right Now,20250826T153000Z,https://g.foolcdn.com/editorial/images/830643/gettyimages-1489971344.jpg,fool.com,English,United States,QQQ ETF,0.0,0.548,0.452,0.765,2025-08-26 15:30:00+00:00
https://www.fool.com/investing/2025/11/05/should-you-buy-the-invesco-qqq-etf-with-the-nasdaq/?source=iedfolrf0000001,,Should You Buy the Invesco QQQ ETF With the Nasdaq At An All - Time High ? History Offers a Clear Answer . ,20251105T111500Z,https://g.foolcdn.com/editorial/images/840759/a-smiling-person-writing-notes-while-looking-at-stock-charts-on-the-computer.jpg,fool.com,English,United States,QQQ ETF,0.0,0.894,0.106,0.3818,2025-11-05 11:15:00+00:00
https://www.fool.com/investing/2025/11/05/should-you-buy-the-invesco-qqq-etf-with-the-nasdaq/,,Should You Buy the Invesco QQQ ETF With the Nasdaq At An All - Time High ? History Offers a Clear Answer . ,20251105T094500Z,https://g.foolcdn.com/editorial/images/840759/a-smiling-person-writing-notes-while-looking-at-stock-charts-on-the-computer.jpg,fool.com,English,United States,QQQ ETF,0.0,0.894,0.106,0.3818,2025-11-05 09:45:00+00:00
https://finance.yahoo.com/news/smartest-growth-etf-buy-500-135300455.html,,The Smartest Growth ETF to Buy With $500 Right Now,20250826T144500Z,https://s.yimg.com/ny/api/res/1.2/6C83QmncTG8t1FeEBS3xcQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02Mzk-/https://media.zenfs.com/en/motleyfool.com/a5a811c0f5c5f1ea82d8b0e88921da99,finance.yahoo.com,English,United States,QQQ ETF,0.0,0.548,0.452,0.765,2025-08-26 14:45:00+00:00
https://biztoc.com/x/f7bae69bf0aa39b7,,"Trump Slams Powell , Defends Tariffs As Economists Eye Fed Cuts",20250812T163000Z,https://biztoc.com/cdn/f7bae69bf0aa39b7_s.webp,biztoc.com,English,,QQQ ETF,0.18,0.82,0.0,-0.296,2025-08-12 16:30:00+00:00
